station_id,city
2,San Jose
3,San Jose
4,San Jose
5,San Jose
6,San Jose
7,San Jose
8,San Jose
9,San Jose
10,San Jose
11,San Jose
12,San Jose
13,San Jose
14,San Jose
16,San Jose
21,Redwood City
22,Redwood City
23,Redwood City
24,Redwood City
25,Redwood City
26,Redwood City
27,Mountain View
28,Mountain View
29,Mountain View
30,Mountain View
31,Mountain View
32,Mountain View
33,Mountain View
34,Palo Alto
35,Palo Alto
36,Palo Alto
37,Palo Alto
38,Palo Alto
41,San Francisco
42,San Francisco
45,San Francisco
46,San Francisco
47,San Francisco
48,San Francisco
49,San Francisco
50,San Francisco
51,San Francisco
39,San Francisco
54,San Francisco
55,San Francisco
56,San Francisco
57,San Francisco
58,San Francisco
59,San Francisco
60,San Francisco
61,San Francisco
62,San Francisco
63,San Francisco
64,San Francisco
65,San Francisco
66,San Francisco
67,San Francisco
68,San Francisco
69,San Francisco
70,San Francisco
71,San Francisco
72,San Francisco
73,San Francisco
74,San Francisco
75,San Francisco
76,San Francisco
77,San Francisco
80,San Jose
82,San Francisco
83,Redwood City
84,San Jose
